Home_Team,Home_Score,Away_Team,Away_Score
Arsenal,2,Brighton,0
Brentford,1,Villa,2
West Ham,3,Wolves,0
Liverpool,0,United,0
Chelsea,2,Sheffield,0
City,2,Palace,2
Newcastle,3,Fulham,0
Burnley,0,Everton,2
Forest,0,Spurs,2
Everton,2,Chelsea,0
Fulham,5,West Ham,0
Luton,1,City,2
Spurs,4,Newcastle,1
Palace,1,Liverpool,2
Brighton,1,Burnley,1
United,0,Bournemouth,3
Sheffield,1,Brentford,0
Wolves,1,Forest,1
Villa,1,Arsenal,0
Everton,3,Newcastle,0
Spurs,1,West Ham,2
Brighton,2,Brentford,1
Palace,0,Bournemouth,2
Fulham,5,Forest,0
Sheffield,0,Liverpool,2
Villa,1,City,0
United,2,Chelsea,1
Wolves,1,Burnley,0
Luton,3,Arsenal,4
Bournemouth,2,Villa,2
Chelsea,3,Brighton,2
Liverpool,4,Fulham,3
West Ham,1,Palace,1
City,3,Spurs,3
Arsenal,2,Wolves,1
Brentford,3,Luton,1
Burnley,5,Sheffield,0
Forest,0,Everton,1
Newcastle,1,United,0
Fulham,3,Wolves,2
Spurs,1,Villa,2
Everton,0,United,3
City,1,Liverpool,1
Burnley,1,West Ham,2
Luton,2,Palace,1
Newcastle,4,Chelsea,1
Forest,2,Brighton,3
Sheffield,1,Bournemouth,3
Brentford,0,Arsenal,1
Villa,3,Fulham,1
Brighton,1,Sheffield,1
Liverpool,3,Brentford,0
West Ham,3,Forest,2
Chelsea,4,City,4
Wolves,2,Spurs,1
Arsenal,3,Burnley,1
Palace,2,Everton,3
United,1,Luton,0
Bournemouth,2,Newcastle,0
Spurs,1,Chelsea,4
Forest,2,Villa,0
Luton,1,Liverpool,1
Fulham,0,United,1
Brentford,3,West Ham,2
Burnley,0,Palace,2
Everton,1,Brighton,1
City,6,Bournemouth,1
Sheffield,2,Wolves,1
Newcastle,1,Arsenal,0
West Ham,0,Everton,1
Villa,3,Luton,1
Brighton,1,Fulham,1
Liverpool,3,Forest,0
United,0,City,3
Chelsea,0,Brentford,2
Arsenal,5,Sheffield,0
Bournemouth,2,Burnley,1
Wolves,2,Newcastle,2
Palace,1,Spurs,2
Spurs,2,Fulham,0
Villa,4,West Ham,1
Liverpool,2,Everton,0
Bournemouth,1,Wolves,2
Brentford,3,Burnley,0
City,2,Brighton,1
Newcastle,4,Palace,0
Forest,2,Luton,2
Chelsea,2,Arsenal,2
Sheffield,1,United,2
Brighton,2,Liverpool,2
West Ham,2,Newcastle,2
Wolves,1,Villa,1
Arsenal,1,City,0
Luton,0,Spurs,1
Burnley,1,Chelsea,4
Everton,3,Bournemouth,0
Fulham,3,Sheffield,1
United,2,Brentford,1
Palace,0,Forest,0
Luton,1,Burnley,2
Fulham,0,Chelsea,2
Forest,1,Brentford,1
Villa,6,Brighton,1
Bournemouth,0,Arsenal,4
Everton,1,Luton,2
United,0,Palace,1
Newcastle,2,Burnley,0
West Ham,2,Sheffield,0
Wolves,2,City,1
Spurs,2,Liverpool,1
Arsenal,2,Spurs,2
Brighton,3,Bournemouth,1
Chelsea,0,Villa,1
Liverpool,3,West Ham,1
Sheffield,0,Newcastle,8
Palace,0,Fulham,0
Luton,1,Wolves,1
City,2,Forest,0
Brentford,1,Everton,3
Burnley,0,United,1
Forest,1,Burnley,1
Bournemouth,0,Chelsea,0
Everton,0,Arsenal,1
Wolves,1,Liverpool,3
Villa,3,Palace,1
Fulham,1,Luton,0
United,1,Brighton,3
Spurs,2,Sheffield,1
West Ham,1,City,3
Newcastle,1,Brentford,0
Palace,3,Wolves,2
Liverpool,3,Villa,0
Arsenal,3,United,1
Sheffield,2,Everton,2
Brentford,2,Bournemouth,2
Burnley,2,Spurs,5
Chelsea,0,Forest,1
City,5,Fulham,1
Brighton,3,Newcastle,1
Luton,1,West Ham,2
Burnley,1,Villa,3
Sheffield,1,City,2
Newcastle,1,Liverpool,2
Bournemouth,0,Spurs,2
Arsenal,2,Fulham,2
Brentford,1,Palace,1
Everton,0,Wolves,1
United,3,Forest,2
Brighton,1,West Ham,3
Chelsea,3,Luton,0
Palace,0,Arsenal,1
Villa,4,Everton,0
West Ham,3,Chelsea,1
Fulham,0,Brentford,3
Liverpool,3,Bournemouth,1
Wolves,1,Brighton,4
Spurs,2,United,0
City,1,Newcastle,0
Forest,2,Sheffield,1
United,1,Wolves,0
Brentford,2,Spurs,2
Chelsea,1,Liverpool,1
Arsenal,2,Forest,1
Bournemouth,1,West Ham,1
Brighton,4,Luton,1
Everton,0,Fulham,1
Sheffield,0,Palace,1
Newcastle,5,Villa,1
Burnley,0,City,3
